,R,G,B,T
0,113.78692764855224,114.42767990387036,167.91083840943787,23.636363636363637
1,113.80098746051122,114.11463229166309,167.722987713604,23.636363636363637
2,113.81477862648966,113.83060448523229,167.55666179789492,23.818181818181817
3,113.82832796830972,113.57444939323115,167.41088340842217,23.818181818181817
4,113.84166230779361,113.3450199243129,167.28467529129722,23.818181818181817
5,113.85480846676349,113.1411689871307,167.1770601926316,23.818181818181817
6,113.86779326704155,112.96174949033778,167.08706085853677,24.0
7,113.88064353044997,112.80561434258735,167.01370003512426,24.0
8,113.89338607881093,112.67161645253258,166.95600046850555,24.0
9,113.90604773394662,112.5586087288267,166.91298490479213,24.0
10,113.91865531767921,112.46544408012291,166.88367609009552,24.0
11,113.93123565183089,112.39097541507441,166.8670967705272,24.0
12,113.94381555822385,112.33405564233439,166.8622696921987,24.0
13,113.95642185868026,112.29353767055606,166.86821760122152,24.0
14,113.9690813750223,112.26827440839264,166.88396324370711,24.0
15,113.98182092907216,112.2571187644973,166.90852936576698,24.0
16,113.99466734265201,112.25892364752328,166.94093871351265,24.0
17,114.00764743758405,112.27254196612375,166.98021403305563,24.0
18,114.02078803569046,112.29682662895193,167.02537807050737,24.0
19,114.0341159587934,112.33063054466102,167.0754535719794,24.0
20,114.04765802871508,112.37280662190422,167.12946328358325,24.0
21,114.06144106727766,112.42220776933472,167.18642995143037,24.0
22,114.07549189630333,112.47768689560574,167.24537632163225,24.0
23,114.08983733761428,112.5380969093705,167.30532514030043,24.0
24,114.10450421302433,112.60229071927391,167.36529915353404,24.0
25,114.07829388649812,112.66174365726549,167.37387437243166,24.0
26,114.19194817406027,112.70654739436314,167.4504443227128,24.0
27,114.25140804942097,112.77245996900689,167.530483272887,24.0
28,114.36484475586083,112.81572770951522,167.5771932098169,24.0
29,114.49132056288971,112.84044114098708,167.64070734675613,24.0
30,114.54990033837751,112.8634618543946,167.60054943962166,24.0
31,114.59306023432958,112.89988840294941,167.59577526832985,24.0
32,114.54567800326538,112.86542197650489,167.5241910790986,24.0
33,114.52440960622963,112.93622287369593,167.48570192457152,24.0
34,114.52447393456146,113.00652554165042,167.46607137731718,24.0
35,114.50544252373078,113.03047964653902,167.4604606223769,24.0
36,114.48002431862368,113.06542475145253,167.4245534305009,24.0
37,114.43953751712608,113.13295783245485,167.4015721339634,24.0
38,114.32886409093922,113.11319642119214,167.3056229583909,24.0
39,114.20768591123553,113.13127205175957,167.2315545603461,24.0
40,114.10433267080616,113.1027758621096,167.16656560179976,24.0
41,114.03682040191123,113.06405651306183,167.18514356095818,24.0
42,113.91365908064516,112.99171646593189,167.18735153634697,24.0
43,113.75141072976817,112.97920555140058,167.15703996333315,24.0
44,113.57983382477451,112.88616250281788,167.07021248214372,24.0
45,113.37104644851591,112.74475590077596,166.99204378361625,24.0
46,113.1607902420144,112.65420179103123,166.98911148382473,24.0
47,112.90089400613633,112.54496471558639,167.00519766613058,23.818181818181817
48,112.63240205458817,112.4664491486031,167.06511099316353,23.818181818181817
49,112.34517006171224,112.3900286670929,167.14320211929092,23.818181818181817
50,112.16114499384427,112.26953224157236,167.18164586558373,23.818181818181817
51,111.89407930231948,112.15601827806735,167.16745989174584,23.636363636363637
52,111.62587651292951,112.09379354577885,167.17548043644913,23.636363636363637
53,111.42468366384345,112.02490452444927,167.25530653552548,23.636363636363637
54,111.21629455563912,111.94998125332837,167.3079920699441,23.818181818181817
55,111.04919572241002,111.86592462043095,167.4330318415659,23.818181818181817
56,110.84523139436205,111.77474173277628,167.50027922909462,23.636363636363637
57,110.66571750842942,111.69720780352297,167.51008141632093,23.636363636363637
58,110.44298475890724,111.59418818748112,167.51497131554308,23.636363636363637
59,110.20739328039308,111.47965222337129,167.54194096865248,23.636363636363637
60,110.00984255009311,111.40271774587659,167.53342156404275,23.636363636363637
61,109.80000700042801,111.36095478379657,167.49812580665392,23.636363636363637
62,109.61697902170306,111.27065641070425,167.46279063239507,23.636363636363637
63,109.52762949150484,111.22255742327633,167.5083366679882,23.636363636363637
64,109.43011814654135,111.1333258283531,167.5743239770174,23.636363636363637
65,109.33624955103379,111.06855665827375,167.61463198359277,23.636363636363637
66,109.22271729810112,110.981244507251,167.62877034185178,23.818181818181817
67,109.18344863555336,110.91792587798685,167.72423327091622,23.818181818181817
68,109.11218261929658,110.9009296389869,167.7500119038824,23.818181818181817
69,109.03255896526446,110.87501068196362,167.77358035411513,23.818181818181817
70,108.93076852489604,110.8009422839188,167.76881028217775,23.636363636363637
71,108.82770759997446,110.7723792432573,167.7676378667971,23.636363636363637
72,108.76879262342435,110.7278530009243,167.8207900969563,23.636363636363637
73,108.74989586062152,110.71227639991352,167.88527924959135,23.636363636363637
74,108.79622550358981,110.68525660854543,167.98055171634007,23.636363636363637
75,108.67723070314797,110.64856486328941,167.9788574216009,23.636363636363637
76,108.63809479661829,110.57740385357428,167.83527784635078,23.636363636363637
77,108.55071768659383,110.56122086343572,167.7297402806547,23.636363636363637
78,108.49635930021329,110.55684527553312,167.57569505342275,23.636363636363637
79,108.4729961330394,110.53843412856844,167.58243691486393,23.636363636363637
80,108.40019443552823,110.49513296255435,167.5788083554812,23.636363636363637
81,108.3600494571271,110.4923378334704,167.61375314505972,23.636363636363637
82,108.38337478410583,110.39290105324217,167.73864754726503,23.636363636363637
83,108.3536405894035,110.2902771825749,167.81880222536952,23.636363636363637
84,108.27460156638689,110.21924955954779,167.87229312527555,23.636363636363637
85,108.21851829777606,110.15959480718192,167.91137731687184,23.636363636363637
86,108.19020153371821,110.07845060797348,167.96542730566168,23.636363636363637
87,108.25695573736971,110.04927140280046,168.09036648543128,23.636363636363637
88,108.25747288670387,109.96332055279932,168.17190769135416,23.818181818181817
89,108.21047788697032,109.89248465342774,168.28272049559325,23.818181818181817
90,108.2289306581497,109.77843052113654,168.3401593891964,23.818181818181817
91,108.28861694401155,109.69787820564771,168.3415465476847,23.818181818181817
92,108.3114982793668,109.57980765197313,168.36115754417153,23.818181818181817
93,108.26912325212976,109.49760771131919,168.41064274408285,23.818181818181817
94,108.22975746641436,109.45935568868192,168.4450035333158,23.818181818181817
95,108.16128657924155,109.43163490769811,168.48592108236858,23.818181818181817
96,108.14183388090453,109.42963568405281,168.5110908035273,23.818181818181817
97,108.15431326193985,109.42399276494663,168.53339444523613,23.818181818181817
98,108.09662304637372,109.36811698673937,168.5144065506299,23.818181818181817
99,108.06129701682872,109.37014301385626,168.49153499065838,23.818181818181817
100,108.05387497787919,109.34185652195454,168.55748887418184,23.818181818181817
101,108.0639827246816,109.28372042275524,168.67126425036858,23.818181818181817
102,108.03557861283987,109.25145503433038,168.74916838286478,23.818181818181817
103,107.96495114987675,109.2100824569306,168.83301342600416,23.636363636363637
104,107.8814268023915,109.1639294015398,168.79501398666972,23.636363636363637
105,107.87933171691839,109.10732015421598,168.8545356676825,23.636363636363637
106,107.8261902081478,109.05087582707614,168.90028131030522,23.636363636363637
107,107.81822390105759,109.03452003337964,168.88158762321652,23.636363636363637
108,107.854889158177,108.99583820919212,168.84845380231224,23.636363636363637
109,107.83150517889578,108.92662723086858,168.81448339775957,23.636363636363637
110,107.84951395845175,108.86399350913716,168.85114676286923,23.636363636363637
111,107.81807853164112,108.9025488840058,168.92072384508117,23.636363636363637
112,107.69662947920693,108.87340436567837,168.93264224522292,23.636363636363637
113,107.53875545489272,108.84947107289712,168.89248559942828,23.636363636363637
114,107.43727561945973,108.92535737698533,168.98669286468268,23.636363636363637
115,107.39536287327378,109.05091240593147,169.05361356519296,23.636363636363637
116,107.23079334175749,109.0954481083133,169.01787097816606,23.636363636363637
117,107.17423549403212,109.10334756439202,169.06419242242544,23.636363636363637
118,107.07648449449911,109.11879645474407,169.16836048839093,23.636363636363637
119,107.00368973435711,109.18468884795038,169.31160896193325,23.636363636363637
120,106.96744671074892,109.17587428981822,169.42117493174115,23.636363636363637
121,106.93038003222568,109.20040482701339,169.45705658148538,23.636363636363637
122,106.90452130417968,109.19534590825283,169.45038567041016,23.636363636363637
123,106.78581692723586,109.18921075127436,169.38460143709506,23.636363636363637
124,106.67424511174843,109.15783019274676,169.2889266029376,23.636363636363637
125,106.6315802916833,109.13464865850975,169.33706689924526,23.636363636363637
126,106.52819740976774,109.01643021273901,169.52371586931397,23.636363636363637
127,106.37667265486972,108.89180447591947,169.70225000952635,23.636363636363637
128,106.23969240965897,108.77559944386725,169.78068201274533,23.636363636363637
129,106.13532315998904,108.59009198635313,169.80120779595063,23.636363636363637
130,106.00665230630479,108.38913343114226,169.7434775328446,23.636363636363637
131,105.82850602809297,108.21598426603889,169.5661495488536,23.636363636363637
132,105.62046599568919,108.01580648018854,169.37386396637785,23.636363636363637
133,105.43845181886005,107.76498180043487,169.21785514835105,23.636363636363637
134,105.14399834006903,107.5454055538606,169.01772876209918,23.636363636363637
135,104.88587996269446,107.34683250762083,168.760227495241,23.636363636363637
136,104.57003857491793,107.10716248673621,168.36926764400346,23.636363636363637
137,104.30116632940826,106.91357078685691,168.07543821309793,23.636363636363637
138,104.05574522952622,106.64146005130976,167.61991983553415,23.636363636363637
139,103.7475043602865,106.50177265546884,167.12613839860956,23.636363636363637
140,103.38546545488987,106.3411129621195,166.61087256020176,23.636363636363637
141,103.0308498497826,106.18862958894363,166.0441279742665,23.636363636363637
142,102.7375691017072,106.08051352928098,165.46622273809803,23.454545454545453
143,102.43016166276632,105.9535328709814,164.88098785612323,23.636363636363637
144,102.1593075370341,105.77593527559969,164.23062999824413,23.636363636363637
145,101.88220347239799,105.58374050959246,163.55916078013925,23.454545454545453
146,101.5526847460738,105.38865885202792,162.88255223285907,23.454545454545453
147,101.28437032810803,105.25676622105908,162.23105002441073,23.454545454545453
148,101.04983963639874,105.10931212515753,161.53454005714573,23.454545454545453
149,100.72037861637216,105.00810852314937,160.7970674479287,23.454545454545453
150,100.3509495208569,104.9447766498169,160.05333827777372,23.454545454545453
151,99.96318085941283,104.94819488078146,159.30167937938384,23.454545454545453
152,99.63632292947965,104.91775717378377,158.6097004601566,23.272727272727273
153,99.41075153464911,104.8917294261993,157.95456401629625,23.272727272727273
154,99.19274376416503,104.94010685439676,157.25495462171102,23.272727272727273
155,98.9985683792751,105.00234735343325,156.54407988568585,23.09090909090909
156,98.71405362774802,105.05122994823634,155.823907813705,23.09090909090909
157,98.42495516724483,105.18943621577091,155.1355047929223,23.09090909090909
158,98.24882041074176,105.38426339802284,154.5151110089312,23.09090909090909
159,98.0628024259277,105.62136470032468,153.95155036008543,23.09090909090909
160,97.91699154050181,105.77058940202566,153.43410177308564,23.09090909090909
161,97.85993262552526,105.9783733824421,152.98253832658807,23.09090909090909
162,97.91967598701487,106.24243203978997,152.64518667986164,22.90909090909091
163,97.90242905672186,106.4607847867201,152.2380867240401,22.90909090909091
164,97.9200783544236,106.67195231125551,151.93028574706938,22.90909090909091
165,97.96674225244931,106.94180556382523,151.6845966124715,22.90909090909091
166,97.98542584881933,107.17072959994871,151.42169428842135,22.727272727272727
167,97.9843669540242,107.4430897654491,151.09429871238166,22.727272727272727
168,97.9664269174895,107.70309321521354,150.86648623199153,22.727272727272727
169,97.93002969508596,107.93089119019547,150.57902404459495,22.727272727272727
170,97.85099414075391,108.14490366673847,150.23819803728108,22.727272727272727
171,97.72566363029915,108.37129777047926,149.93275324313018,22.727272727272727
172,97.63647902028492,108.5925213268837,149.5910291618507,22.727272727272727
173,97.60238910378247,108.8272103167428,149.35336971667002,22.727272727272727
174,97.50478252766108,109.00181033799635,149.15946268183086,22.545454545454547
175,97.55507403906469,109.15891967503299,148.84392685363042,22.545454545454547
176,97.6215851194622,109.30662320088774,148.3719744793001,22.545454545454547
177,97.56185001975571,109.46206996589021,148.06978618082368,22.545454545454547
178,97.50263531848637,109.61213968813723,147.76664806823172,22.545454545454547
179,97.44439104710933,109.75675889627864,147.46194634836354,22.545454545454547
180,97.38756723707266,109.89585411895621,147.15506722804759,22.545454545454547
181,97.33261391982433,110.02935188481172,146.84539691411237,22.363636363636363
182,97.27998112681239,110.1571787224869,146.53232161338633,22.363636363636363
183,97.23011888948483,110.27926116062356,146.215227532698,22.363636363636363
184,97.18347723928969,110.39552572786347,145.89350087887584,22.363636363636363
185,97.14050620767499,110.50589895284838,145.56652785874834,22.363636363636363
186,97.10165582608872,110.61030736422008,145.23369467914395,22.363636363636363
187,97.06737612597892,110.70867749062032,144.8943875468912,22.363636363636363
188,97.03811713879362,110.80093586069088,144.54799266881852,22.363636363636363
189,97.01432889598082,110.88700900307354,144.19389625175444,22.363636363636363
190,96.99646142898854,110.96682344641006,143.8314845025274,22.181818181818183
191,96.98496476926479,111.04030571934221,143.46014362796586,22.0
192,96.98028894825761,111.10738235051177,143.07925983489838,22.0
193,96.982883997415,111.1679798685605,142.68821933015337,22.0
194,96.99319994818498,111.22202480213016,142.28640832055933,22.0
195,97.01168683201558,111.26944367986255,141.87321301294477,22.0
196,97.03879468035481,111.31016303039942,141.44801961413813,22.0
197,97.07497352465069,111.34410938238256,141.01021433096793,22.0
198,97.12067339635122,111.37120926445371,140.55918337026262,22.0
199,97.17634432690444,111.39138920525467,140.0943129388507,22.0
200,97.24243634775837,111.4045757334272,139.61498924356061,22.0
